trial,target,delay,time,scrollCount_totalScrollCount,scrollCount_upScrollCount,scrollCount_downScrollCount,scrollCount_reverseScrollCount,participants
29,DIV 3,0,2.539,17,17,0,0,3
30,DIV 7,250,4.271,41,0,41,0,3
31,DIV 1,100,4.355,33,33,0,0,3
32,DIV 3,150,5.888,45,29,16,16,3
33,DIV 1,50,4.369,35,35,0,0,3
34,DIV 3,200,6.26,28,21,7,7,3
35,DIV 1,0,3.19,28,28,0,0,3
36,DIV 2,250,5.489,26,26,0,0,3
37,DIV 1,100,4.502,25,25,0,0,3
38,DIV 2,150,3.514,33,27,6,6,3
39,DIV 5,50,4.489,49,11,38,11,3
40,DIV 5,200,2.204,8,0,8,0,3
41,DIV 6,0,2.285,17,0,17,0,3
42,DIV 7,250,3.331,28,0,28,0,3
43,DIV 1,100,3.904,38,38,0,0,3
44,DIV 5,150,2.28,9,0,9,0,3
45,DIV 5,50,2.149,9,0,9,0,3
46,DIV 5,200,2.117,7,0,7,0,3
47,DIV 5,0,1.908,9,0,9,0,3
48,DIV 3,250,2.913,16,16,0,0,3
49,DIV 2,100,3.232,21,21,0,0,3
50,DIV 6,150,2.967,17,0,17,0,3
51,DIV 5,50,4.674,29,14,15,14,3
52,DIV 3,200,2.657,14,14,0,0,3
53,DIV 3,0,2.849,13,13,0,0,3
54,DIV 2,250,4.818,19,19,0,0,3
55,DIV 5,100,5.372,32,15,17,15,3
56,DIV 2,150,3.623,24,24,0,0,3
57,DIV 3,50,2.694,14,14,0,0,3
58,DIV 6,200,3.135,19,0,19,0,3
59,DIV 5,0,2.482,8,0,8,0,3
60,DIV 1,250,5.161,30,30,0,0,3
61,DIV 7,100,3.432,27,0,27,0,3
62,DIV 1,150,3.698,30,30,0,0,3
63,DIV 2,50,4.745,30,24,6,6,3
64,DIV 7,200,3.429,26,0,26,0,3
65,DIV 7,0,3.637,22,0,22,0,3
66,DIV 5,250,3.68,8,0,8,0,3
67,DIV 5,100,2.173,6,0,6,0,3
68,DIV 1,150,3.358,30,30,0,0,3
69,DIV 2,50,3.69,30,26,4,4,3
70,DIV 5,200,3.41,26,8,18,8,3
71,DIV 2,0,2.877,21,21,0,0,3
72,DIV 3,250,3.141,15,15,0,0,3
73,DIV 5,100,2.059,9,0,9,0,3
74,DIV 5,150,2.264,6,0,6,0,3
75,DIV 2,50,2.929,21,21,0,0,3
76,DIV 3,200,3.016,13,13,0,0,3
77,DIV 6,0,2.649,19,0,19,0,3
78,DIV 2,250,3.739,24,24,0,0,3
79,DIV 6,100,3.864,18,0,18,0,3
80,DIV 1,150,4.725,40,40,0,0,3
81,DIV 3,50,2.722,13,13,0,0,3
82,DIV 2,200,3.722,26,26,0,0,3
83,DIV 7,0,3.484,37,0,37,0,3
84,DIV 6,250,3.908,16,0,16,0,3
85,DIV 7,100,3.002,23,0,23,0,3
86,DIV 5,150,4.334,17,4,13,4,3
87,DIV 6,50,3.096,19,0,19,0,3
88,DIV 1,200,3.684,29,29,0,0,3
89,DIV 1,0,3.519,28,28,0,0,3
90,DIV 5,250,2.372,8,0,8,0,3
91,DIV 6,100,2.638,19,0,19,0,3
92,DIV 6,150,2.779,18,0,18,0,3
93,DIV 7,50,3.186,25,0,25,0,3
94,DIV 1,200,4.247,29,29,0,0,3
95,DIV 1,0,3.368,29,29,0,0,3
96,DIV 1,250,4.609,28,28,0,0,3
97,DIV 2,100,3.076,22,22,0,0,3
98,DIV 6,150,3.198,18,0,18,0,3
99,DIV 3,50,3.765,13,13,0,0,3
100,DIV 2,200,4.355,23,23,0,0,3
101,DIV 2,0,3.978,30,30,0,0,3
102,DIV 7,250,3.697,29,0,29,0,3
103,DIV 6,100,3.484,22,0,22,0,3
104,DIV 2,150,5.452,31,27,4,4,3
105,DIV 7,50,3.197,24,0,24,0,3
106,DIV 2,200,3.894,22,22,0,0,3
107,DIV 2,0,4.157,22,22,0,0,3
108,DIV 1,250,4.147,31,31,0,0,3
1,DIV 7,200,3.551,35,0,35,0,5
2,DIV 7,250,3.396,34,0,34,0,5
3,DIV 3,150,4.258,41,28,13,13,5
4,DIV 3,0,3.791,23,19,4,4,5
5,DIV 5,100,3.236,32,11,21,11,5
6,DIV 5,50,2.872,24,4,20,4,5
7,DIV 6,200,3.217,24,0,24,0,5
8,DIV 5,250,5.537,30,9,21,9,5
9,DIV 1,150,6.056,45,45,0,0,5
10,DIV 7,0,3.974,44,0,44,0,5
11,DIV 5,100,3.44,31,10,21,10,5
12,DIV 2,50,2.859,31,31,0,0,5
13,DIV 3,200,2.947,18,18,0,0,5
14,DIV 6,250,2.915,26,0,26,0,5
